title,series,author,language,genres,pages,publishDate,firstPublishDate,numRatings,likedPercent,coverImg
1984,,George Orwell,English,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Politics', 'School', 'Fantasy', 'Adult']",237,9/3/2013,6/8/1949,3140442,94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532714506l/40961427._SX318_.jpg
"84, Charing Cross Road",,Helene Hanff,,,,,,,,
A Clockwork Orange,,Anthony Burgess,English,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Horror', 'Thriller', 'Crime', 'Modern Classics']",240,5/21/2019,10/28/1962,601048,92,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549260060l/41817486.jpg
A Game of Thrones,A Song of Ice and Fire #1,George R.R. Martin,English,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Adult', 'Science Fiction Fantasy', 'High Fantasy', 'Adventure', 'Dragons', 'Audiobook', 'Epic']",835,8/28/2005,8/6/1996,2003043,96,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562726234l/13496.jpg
A Midsummer Night's Dream,,William Shakespeare,,,,,,,,
A Prayer for Owen Meany,,John Irving,English,"['Fiction', 'Classics', 'Contemporary', 'Literature', 'Literary Fiction', 'Novels', 'Historical Fiction', 'Adult Fiction', 'Coming Of Age', 'American']",637,10/28/1990,3/28/1989,285954,94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1260470010l/4473.jpg
A Tale of Two Cities,,Charles Dickens,English,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', 'Novels', 'School', 'Classic Literature', '19th Century', 'British Literature']",489,10/28/2003,11/26/1959,810000,88,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344922523l/1953.jpg
A Thousand Splendid Suns,,Khaled Hosseini,English,"['Fiction', 'Historical Fiction', 'Contemporary', 'Novels', 'Historical', 'War', 'Adult Fiction', 'Adult', 'Drama', 'Literature']",372,6/1/2007,5/22/2007,1151288,97,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345958969l/128029.jpg
A Tree Grows in Brooklyn,,Betty Smith,English,"['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Coming Of Age', 'Historical', 'Literature', 'New York', 'Novels', 'Book Club']",496,5/30/2006,8/18/1943,388454,96,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327883484l/14891.jpg
A Winter's Tale,,William Shakespeare,,,,,,,,
A Wrinkle in Time,Time Quintet #1,Madeleine L'Engle,English,"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Middle Grade', 'Time Travel', 'Adventure', 'Science Fiction Fantasy']",218,11/7/2017,10/28/1962,1051535,91,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507963312l/33574273._SX318_.jpg
Agnes Grey,,Anne Bronte,,,,,,,,
Alice's Adventures in Wonderland,,Lewis Carroll,,,,,,,,
Through the Looking-Glass,Alice's Adventures in Wonderland #1-2,Lewis Carroll,English,"['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Literature', 'Adventure', 'Novels', '19th Century', 'British Literature']",239,12/1/2000,10/28/1971,458299,94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327872220l/24213.jpg
An Experiment in Criticism,,C. S. Lewis,,,,,,,,
An Ideal Husband,,Oscar Wilde,,,,,,,,
Angela's Ashes,Frank McCourt #1,Frank McCourt,English,"['Nonfiction', 'Memoir', 'Biography', 'Classics', 'Ireland', 'Autobiography', 'Biography Memoir', 'History', 'Irish Literature', 'Historical']",452,10/3/2005,9/5/1996,539576,94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348317139l/252577.jpg
Animal Farm,,George Orwell,English,"['Classics', 'Fiction', 'Dystopia', 'Fantasy', 'Literature', 'Politics', 'School', 'Science Fiction', 'Novels', 'Read For School']",141,4/28/1996,8/17/1945,2740713,91,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325861570l/170448.jpg
Anna Karenina,,Leo Tolstoy,English,"['Classics', 'Fiction', 'Romance', 'Russia', 'Historical Fiction', 'Literature', 'Russian Literature', 'Novels', '19th Century', 'Classic Literature']",964,10/16/2012,10/28/1977,681953,92,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1601352433l/15823480._SY475_.jpg
Anne of Green Gables,Anne of Green Gables #1,L.M. Montgomery,English,"['Classics', 'Fiction', 'Young Adult', 'Childrens', 'Historical Fiction', 'Middle Grade', 'Historical', 'Audiobook', 'Canada', 'Coming Of Age']",320,5/6/2003,10/28/2008,727685,95,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390789015l/8127.jpg
Antigone,,Sophocles,,,,,,,,
Atlas Shrugged,,Ayn Rand,English,"['Classics', 'Philosophy', 'Literature', 'Politics', 'Science Fiction', 'Dystopia', 'Economics', 'Novels', 'Audiobook', 'Fiction']",1168,8/1/1999,10/28/1957,353814,80,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405868167l/662.jpg
Brave New World,,Aldous Huxley,English,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'School', 'Fantasy', 'Philosophy', 'Science Fiction Fantasy']",288,9/1/1998,10/28/1932,1441287,92,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575509280l/5129._SY475_.jpg
Catch-22,Catch-22 #1,Joseph Heller,English,"['Classics', 'Fiction', 'War', 'Historical Fiction', 'Humor', 'Literature', 'Novels', 'Unfinished', 'American', 'Historical']",453,9/4/2004,11/10/1961,723147,90,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463157317l/168668.jpg
Charlotte's Web,,E.B. White,English,"['Classics', 'Childrens', 'Fiction', 'Young Adult', 'Fantasy', 'Animals', 'Middle Grade', 'Juvenile', 'School', 'Chapter Books']",184,10/1/2001,10/15/1952,1417302,94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439632243l/24178._SY475_.jpg
City of Bones,The Mortal Instruments #1,Cassandra Clare,English,"['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Urban Fantasy', 'Fiction', 'Vampires', 'Supernatural', 'Angels', 'Magic']",485,3/27/2007,,1617465,92,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730315l/256683._SY475_.jpg
Code of the Woosters,,P. G. Wodehouse,,,,,,,,
Crime and Punishment,,Fyodor Dostoyevsky,English,"['Classics', 'Fiction', 'Russia', 'Literature', 'Russian Literature', 'Novels', 'Philosophy', 'Crime', '19th Century', 'School']",671,12/31/2002,10/28/1966,626897,94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382846449l/7144.jpg
Death on the Nile,,Agatha Christie,,,,,,,,
Divergent,Divergent #1,Veronica Roth,English,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Action']",487,2/28/2012,4/25/2011,2906258,94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1588455221l/13335037._SY475_.jpg
Don Quixote,,Miguel de Cervantes Saavedra,English,"['Classics', 'Fiction', 'Literature', 'Spanish Literature', 'Adventure', 'Novels', 'Historical Fiction', 'Spain', 'Humor', 'Classic Literature']",1023,2/25/2003,10/28/2005,209688,90,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546112331l/3836._SY475_.jpg
Dracula,Dracula #1,Bram Stoker,English,"['Classics', 'Horror', 'Fiction', 'Fantasy', 'Vampires', 'Gothic', 'Paranormal', 'Literature', 'Audiobook', 'Supernatural']",488,5/12/1986,5/26/1997,938325,93,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387151694l/17245.jpg
